YEAR,WINNER,RUNNER-UP,WINNER_NATIONALITY,TOURNAMENT_SURFACE,TOURNAMENT,WINNER_PRIZE,MEAN_PRIZE,GENDER
1982,Chris Evert Lloyd,H. Mandlikova,NA,NA,U.S. Open,90000,53312,Female
1981,Tracy Austin,M. Navratilova,NA,NA,U.S. Open,66000,36506,Female
1980,Chris Evert Lloyd,H. Mandlikova,NA,NA,U.S. Open,46000,29848,Female
1979,Tracy Austin,C. Evert Lloyd,NA,NA,U.S. Open,39000,22297,Female
1978,Chris Evert,P. Shriver,NA,NA,U.S. Open,38000,19991,Female
1977,Chris Evert,W. Turnbull,NA,NA,U.S. Open,33000,18583,Female
1976,Chris Evert,E. Cawley,NA,NA,U.S. Open,30000,12885,Female
1975,Chris Evert,E. Cawley,NA,NA,U.S. Open,25000,11100,Female
1974,Billie Jean King,E. Goolagong,NA,NA,U.S. Open,22500,10475,Female
1973,Margaret Court,E. Goolagong,NA,NA,U.S. Open,25000,8973,Female
1972,Billie Jean King,K. Melville,NA,NA,U.S. Open,10000,4199,Female
1971,Billie Jean King,R. Casals,NA,NA,U.S. Open,5000,2672,Female
1970,Margaret Court,R. Casals,NA,NA,U.S. Open,7500,4103,Female
1969,Open - Margaret Court,N. Richey,NA,NA,U.S. Open,6000,3882,Female
1969,Amateur - Margaret Court,V. Wade,NA,NA,U.S. Open,6000,3882,Female
1968,Amateur - Margaret Court,M. Bueno,NA,NA,U.S. Open,6000,3441,Female
1968,Open -Virginia Wade,B.J. King,NA,NA,U.S. Open,6000,3441,Female
